Install Time,Event Time,Adset,City
4/8/22 13:55,4/8/22 15:24,13,Manaus
4/8/22 14:23,4/8/22 14:28,17,Manacapuru
4/8/22 14:01,4/8/22 14:03,13,Nova Mutum
4/8/22 2:46,4/8/22 13:55,14,Almirante Tamandare
4/8/22 11:43,4/8/22 12:08,17,Camacari
4/8/22 2:24,4/8/22 11:53,13,Sumare
4/8/22 4:04,4/8/22 10:56,11,Sao Paulo
4/8/22 10:34,4/8/22 10:41,17,Ariquemes
4/8/22 10:12,4/8/22 10:15,17,Linhares
4/8/22 10:12,4/8/22 10:15,17,Sao Miguel Do Iguacu
4/8/22 3:41,4/8/22 3:42,15,Timbo
4/8/22 3:24,4/8/22 3:29,11,Bauru
4/8/22 3:16,4/8/22 3:20,13,Santo Andre
4/8/22 3:02,4/8/22 3:06,13,Belo Horizonte
4/8/22 2:22,4/8/22 3:01,12,Piraquara
4/7/22 12:08,4/8/22 2:53,17,Sao Paulo
4/8/22 2:44,4/8/22 2:46,5,Rio De Janeiro
4/8/22 2:28,4/8/22 2:40,11,Teresina
4/8/22 2:33,4/8/22 2:39,13,Campo Grande
4/8/22 2:04,4/8/22 2:36,5,Dianopolis
4/8/22 2:21,4/8/22 2:25,5,Cristalandia Do Piaui
4/8/22 2:04,4/8/22 2:08,17,Candido Mendes
4/8/22 1:25,4/8/22 1:56,5,Feira De Santana
4/8/22 0:41,4/8/22 0:45,17,Londrina
4/8/22 0:12,4/8/22 0:15,17,Carmo
4/6/22 22:02,4/7/22 23:41,5,Belo Horizonte
4/7/22 1:25,4/7/22 22:54,5,Paragominas
4/6/22 22:05,4/7/22 17:14,5,Sao Joao Del Rei
4/7/22 1:11,4/7/22 15:03,5,Dom Pedro De Alcantara
4/7/22 14:24,4/7/22 14:56,5,Mirassol D'Oeste
4/7/22 13:50,4/7/22 14:19,17,Carambei
4/7/22 13:43,4/7/22 14:07,17,Palmas
4/7/22 13:44,4/7/22 13:59,5,Belford Roxo
4/7/22 11:59,4/7/22 12:01,17,Senador Canedo
4/7/22 11:28,4/7/22 11:29,5,Imperatriz
4/7/22 10:16,4/7/22 10:30,5,Feira De Santana
4/7/22 10:15,4/7/22 10:23,5,Lapao
4/6/22 17:17,4/7/22 9:48,5,Santa Luzia
4/7/22 8:45,4/7/22 8:47,5,Guara
4/6/22 15:36,4/7/22 7:13,5,Toledo
4/7/22 2:00,4/7/22 3:06,5,Esteio
4/7/22 1:34,4/7/22 1:41,5,Louveira
